Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
TAP,67.35,,15.41,,1.02,,1.15,,8.893894904290429,,4.317879301409998,,,0.01080881365040978
TEL,144.65,,13.76,,3.42,,2.81,,13.392469997209044,,9.24214560862866,,,0.010775225043665189
SRE,70.52,,14.72,,1.6,,2.67,,10.160206395796848,,6.244346090081139,,,0.010605042769492588
C,61.6,,15.36,,0.6281,,0.7508,,6.464363618760616,,0.7969326714085002,,,0.010599713377222446
VRSN,187.82,,23.77,,-11.99,,12.69,,18.96701253948502,,15.291586664608737,,,0.010598325048143667
CNC,72.78,,14.7,,1.51,,0.2528,,11.94432789604377,,0.3773021315651278,,,0.01055130099870124
BMY,51.32,,13.3,,3.53,,2.31,,7.627030347639485,,3.832519956109929,,,0.01051547315150701
BWA,34.61,,14.73,,1.36,,0.5601,,5.4713989452789695,,3.971451570872274,,,0.010504276949258814
SBUX,86.85,,23.22,,-11.41,,2.68,,14.80269095118865,,2.9973361136097254,,,0.010488602266111334
CVX,161.6,,14.21,,1.86,,1.52,,6.423770616932999,,4.0241864232536,,,0.010378879484079
DE,412.54,,11.98,,5.2,,1.89,,8.408211506070838,,4.9641116369613165,,,0.010376640243629363
BK,56.74,,14.66,,1.17,,1.26,,10.30589136743064,,1.2681208727067623,,,0.010372161762730082
PXD,272.78,,13.51,,2.75,,3.29,,7.331550053224594,,3.526515688345205,,,0.010307223789690538
XOM,121.37,,13.65,,2.35,,1.42,,6.555953212436823,,1.4536239633734185,,,0.010222132652604236
